Rename this local variable "User" to match the regular expression ^[_a-z][a-z0-9_]*$.,File
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/employeeadmin/rooms.html
Function 'openEditModal' has too many parameters (9). Maximum allowed is 7.,tt:templates/employeeadmin/rooms.html
Add a 'onKeyPress|onKeyDown|onKeyUp' attribute to this <div> tag.,tt:templates/employeeadmin/rooms.html
"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",tt:templates/pages/cause.html
"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",tt:templates/pages/cause.html
Add a 'onKeyPress|onKeyDown|onKeyUp' attribute to this <div> tag.,tt:templates/pages/events.html
Add a 'onKeyPress|onKeyDown|onKeyUp' attribute to this <div> tag.,tt:templates/pages/events.html
"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",tt:templates/pages/events.html
Add a 'onKeyPress|onKeyDown|onKeyUp' attribute to this <div> tag.,tt:templates/pages/events.html
"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",tt:templates/pages/index.html
Text does not meet the minimal contrast requirement with its background.,tt:templates/pages/index.html
Prefer `Number.parseInt` over `parseInt`.,tt:templates/pages/index.html
This statement will not be executed conditionally; only the first statement will be. The rest will execute unconditionally.,tt:templates/pages/index.html
Remove this useless assignment to variable "raf".,tt:templates/pages/index.html
Prefer `globalThis` over `window`.,tt:templates/pages/index.html
"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",tt:templates/pages/index.html
Add a 'onKeyPress|onKeyDown|onKeyUp' attribute to this <div> tag.,tt:templates/pages/things_to_do.html
"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",tt:templates/pages/things_to_do.html
Add a 'onKeyPress|onKeyDown|onKeyUp' attribute to this <div> tag.,tt:templates/pages/things_to_do.html
Use <dialog> instead of the dialog role to ensure accessibility across all devices.,tt:templates/pages/things_to_do.html
Make sure not using resource integrity feature is safe here.,tt:templates/payments/checkout.html
Prefer `globalThis` over `window`.,tt:templates/payments/checkout.html
Prefer `globalThis` over `window`.,tt:templates/payments/checkout.html
Prefer `globalThis` over `window`.,tt:templates/payments/checkout.html
Prefer top-level await over an async function `loadBooking` call.,tt:templates/payments/checkout.html
Use <dialog> instead of the dialog role to ensure accessibility across all devices.,tt:templates/payments/checkout.html
Headings must have content and the content must be accessible by a screen reader.,tt:templates/rooms/room_details.html
Prefer `globalThis` over `window`.,tt:templates/rooms/room_details.html
This conditional operation returns the same value whether the condition is "true" or "false".,tt:templates/rooms/room_details.html
Unexpected negated condition.,tt:templates/rooms/room_details.html
Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,tt:templates/rooms/room_details.html
Use `new Array()` instead of `Array()`.,tt:templates/rooms/room_details.html
Prefer `Number.parseFloat` over `parseFloat`.,tt:templates/rooms/room_details.html
Prefer `Number.parseInt` over `parseInt`.,tt:templates/rooms/room_details.html
Prefer `globalThis` over `window`.,tt:templates/rooms/room_details.html
Prefer `globalThis` over `window`.,tt:templates/rooms/room_details.html
Prefer `globalThis` over `window`.,tt:templates/rooms/room_details.html
Prefer `globalThis` over `window`.,tt:templates/rooms/room_details.html
Prefer `globalThis` over `window`.,tt:templates/rooms/room_details.html
Prefer `globalThis` over `window`.,tt:templates/rooms/room_details.html
Prefer top-level await over an async function `loadRoom` call.,tt:templates/rooms/room_details.html
Text does not meet the minimal contrast requirement with its background.,tt:templates/rooms/room_details.html
A form label must be associated with a control and have accessible text.,tt:templates/rooms/search.html
A form label must be associated with a control and have accessible text.,tt:templates/rooms/search.html
A form label must be associated with a control and have accessible text.,tt:templates/rooms/search.html
A form label must be associated with a control and have accessible text.,tt:templates/rooms/search.html
A form label must be associated with a control and have accessible text.,tt:templates/rooms/search.html
A form label must be associated with a control and have accessible text.,tt:templates/rooms/search.html
A form label must be associated with a control and have accessible text.,tt:templates/rooms/search.html
A form label must be associated with a control and have accessible text.,tt:templates/rooms/search.html
Prefer `globalThis` over `window`.,tt:templates/rooms/search.html
Prefer `Number.parseInt` over `parseInt`.,tt:templates/rooms/search.html
Prefer `Number.parseInt` over `parseInt`.,tt:templates/rooms/search.html
Prefer `Number.parseInt` over `parseInt`.,tt:templates/rooms/search.html
Prefer `Number.isNaN` over `isNaN`.,tt:templates/rooms/search.html
Remove this useless assignment to variable "totalPrice".,tt:templates/rooms/search.html
Remove the declaration of the unused 'totalPrice' variable.,tt:templates/rooms/search.html
Prefer `globalThis` over `window`.,tt:templates/rooms/search.html
Handle this exception or don't catch it at all.,tt:templates/rooms/search.html
A form label must be associated with a control and have accessible text.,tt:templates/rooms/search.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/activities.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/activities.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/activities.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/activities.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/activities.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/activities.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/activities.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/analytics.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/analytics.html
Make sure not using resource integrity feature is safe here.,tt:templates/superadmin/audit_log.html
Prefer `globalThis` over `window`.,tt:templates/superadmin/base.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/base.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/bookings.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/bookings.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/bookings.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/bookings.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/bookings.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/causes.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/causes.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/causes.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/causes.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/causes.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/causes.html
Handle this exception or don't catch it at all.,tt:templates/superadmin/causes.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/dashboard.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/employees.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/employees.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/employees.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/employees.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/event_images.html
Remove redundant word "photo" from the "alt" attribute of your "img" tag.,tt:templates/superadmin/event_images.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/event_images.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/events.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/events.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/events.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/events.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/events.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/events.html
Prefer `globalThis` over `window`.,tt:templates/superadmin/events.html
Prefer `globalThis` over `window`.,tt:templates/superadmin/events.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/events.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/guests.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/loyalty_config.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/loyalty_config.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/loyalty_config.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/loyalty_config.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/loyalty_config.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/loyalty_config.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/loyalty_config.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/loyalty_config.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/properties.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/properties.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/properties.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/properties.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/room_images.html
Handle this exception or don't catch it at all.,tt:templates/superadmin/room_images.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/room_status_board.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
A form label must be associated with a control and have accessible text.,tt:templates/superadmin/rooms.html
Function 'openEditModal' has too many parameters (9). Maximum allowed is 7.,tt:templates/superadmin/rooms.html
,tt:templates/superadmin/rooms.html
